x	y	z	t	#
-142.614	-210.892	243.013	19.46	11
-144.873	-216.42	241.69	19.48	11
-147.267	-221.757	234.302	19.5	11
-149.981	-227.039	227.295	19.52	11
-153.171	-232.361	226.594	19.54	11
-175.183	-238.261	98.425	20.42	12
-175.279	-235.043	104.85	20.44	12
-174.017	-231.357	106.45	20.46	12
-171.834	-227.412	111.756	20.48	12
-166.891	-221.528	114.021	20.5	12
183.074	-140.628	212.511	20.5	13
182.512	-137.874	199.212	20.52	13
181.905	-135.258	189.565	20.54	13
-158.21	-213.482	116.622	20.56	12
181.536	-132.912	182.029	20.56	13
181.52	-130.861	178.38	20.58	13
-150.089	-206.446	118.929	20.6	12
181.606	-128.8	181.646	20.6	13
-144.006	-200.899	121.332	20.62	12
181.77	-126.442	183.655	20.62	13
182.094	-123.889	181.249	20.64	13
-137.973	-195.788	124.122	20.66	12
182.292	-120.82	176.642	20.66	13
-132.733	-192.523	125.276	20.68	12
-128.433	-190.726	127.326	20.7	12
182.15	-117.21	165.9	20.7	13
-124.212	-189.072	129.649	20.72	12
181.824	-113.925	155.876	20.72	13
-120.189	-187.55	133.767	20.74	12
181.339	-110.608	150.793	20.74	13
-116.451	-185.903	139.07	20.76	12
180.466	-106.749	141.066	20.76	13
-112.127	-183.022	141.469	20.78	12
179.344	-102.628	127.574	20.78	13
178.169	-98.2381	113.356	20.8	13
-107.284	-178.702	143.079	20.82	12
176.746	-93.8524	97.0873	20.82	13
-103.402	-174.269	145.755	20.84	12
174.761	-89.7613	83.566	20.84	13
-100.235	-169.752	148.81	20.86	12
172.234	-86.09	67.7087	20.86	13
-96.9253	-165.044	153.938	20.88	12
169.119	-83.0243	46.2799	20.88	13
-93.4655	-160.746	161.529	20.9	12
165.285	-80.2078	39.4994	20.9	13
-89.6825	-156.495	166.746	20.92	12
160.971	-77.7154	50.7822	20.92	13
-85.4217	-152.218	168.181	20.94	12
156.426	-76.526	54.6368	20.94	13
-81.0182	-148.568	170.827	20.96	12
151.675	-76.3072	50.9195	20.96	13
-76.5487	-145.371	172.806	20.98	12
146.444	-76.1523	55.7138	20.98	13
-71.7954	-142.529	174.004	21	12
140.795	-76.4915	63.1571	21	13
-66.8088	-140.262	176.717	21.02	12
135.159	-77.6117	65.3324	21.02	13
-61.504	-138.274	179.498	21.04	12
129.631	-78.9282	64.0687	21.04	13
-55.725	-136.453	183.319	21.06	12
123.998	-79.8038	62.4088	21.06	13
-49.69	-134.793	186.845	21.08	12
118.31	-79.8302	57.2224	21.08	13
-43.5586	-133.299	188.297	21.1	12
112.511	-78.8615	54.9155	21.1	13
-37.1824	-131.82	189.773	21.12	12
106.484	-77.2709	58.4651	21.12	13
-30.5208	-130.39	192.459	21.14	12
100.682	-75.438	60.3788	21.14	13
-23.5684	-129.211	194.615	21.16	12
95.5033	-73.5373	58.7423	21.16	13
-16.4188	-128.377	196.544	21.18	12
90.7087	-71.5894	62.2723	21.18	13
-9.19496	-127.996	199.765	21.2	12
85.2441	-68.7168	72.9233	21.2	13
-1.93359	-128.156	204.497	21.22	12
5.28689	-129.202	206.652	21.24	12
79.2919	-64.9761	75.2262	21.24	13
12.3977	-130.992	207.153	21.26	12
73.929	-61.4288	72.7642	21.26	13
19.2687	-132.914	210.93	21.28	12
25.9267	-135.046	214.088	21.3	12
69.0971	-58.7939	74.9142	21.3	13
32.4228	-137.329	215.377	21.32	12
64.9354	-58.2024	83.5502	21.32	13
38.6783	-139.251	220.42	21.34	12
61.7335	-59.8843	86.8979	21.34	13
44.936	-141.023	225.815	21.36	12
59.1583	-62.8284	82.5794	21.36	13
51.2464	-142.919	226.019	21.38	12
56.9826	-66.2905	87.1826	21.38	13
57.543	-145.024	227.036	21.4	12
55.0915	-70.2567	91.8306	21.4	13
63.9442	-147.542	233.226	21.42	12
70.3906	-150.331	240.592	21.44	12
76.8863	-153.291	241.25	21.46	12
83.5377	-156.484	241.021	21.48	12
53.6758	-73.1613	84.38	21.48	13
90.2922	-159.69	250.957	21.5	12
53.7757	-73.075	73.0212	21.5	13
96.8571	-162.497	261.9	21.52	12
55.0547	-71.3109	67.5882	21.52	13
103.207	-164.904	263.686	21.54	12
56.1059	-69.3431	67.6097	21.54	13
109.54	-167.103	260.391	21.56	12
56.965	-67.5551	60.5526	21.56	13
115.85	-168.827	259.317	21.58	12
58.1176	-66.1536	42.3931	21.58	13
122.181	-169.858	263.022	21.6	12
59.374	-64.022	23.4022	21.6	13
128.632	-170.357	264.443	21.62	12
135.369	-170.617	260.541	21.64	12
59.508	-61.4835	20.7064	21.64	13
142.393	-171.084	259.391	21.66	12
57.906	-59.8376	37.4815	21.66	13
